answer,class_id
unanswerable,0
unusable image,1
yes,2
no,3
white,4
grey,5
black,6
blue,7
red,8
brown,9
pink,10
green,11
keyboard,12
purple,13
nothing,14
soup,15
dog,16
laptop,17
yellow,18
phone,19
food,20
tan,21
lotion,22
orange,23
cell phone,24
chicken,25
pepsi,26
corn,27
coffee,28
0,29
remote,30
coca cola,31
shampoo,32
beans,33
wine,34
remote control,35
computer,36
can,37
soda,38
bottle,39
green beans,40
tv,41
chair,42
beer,43
table,44
book,45
beige,46
computer screen,47
pen,48
black white,49
cup,50
coke,51
water,52
hand sanitizer,53
silver,54
water bottle,55
regular,56
paper,57
cereal,58
hand,59
dr pepper,60
candy,61
diet coke,62
cat,63
beef,64
i dont know,65
5,66
chocolate,67
door,68
box,69
tea,70
off,71
money,72
light,73
flowers,74
20,75
10,76
blank,77
tomato sauce,78
apple,79
iphone,80
gold,81
living room,82
unknown,83
blue white,84
1,85
mountain dew,86
tomatoes,87
sprite,88
2,89
television,90
fan,91
medicine,92
right,93
car,94
tablet,95
mouse,96
macaroni cheese,97
clear,98
desk,99
wall,100
1 dollar,101
vanilla,102
peanut butter,103
left,104
telephone,105
shirt,106
foot,107
milk,108
blanket,109
french vanilla,110
computer mouse,111
vegetables,112
cookies,113
orange juice,114
cream mushroom,115
juice,116
watch,117
strawberry,118
bed,119
light blue,120
chips,121
3,122
coffee cup,123
right side up,124
baked beans,125
lamp,126
cant tell,127
pasta,128
soap,129
plant,130
crackers,131
headphones,132
blurry,133
sd,134
mug,135
finger,136
floor,137
salt vinegar,138
shoe,139
cherry,140
shoes,141
8 minutes,142
sauce,143
cream,144
cloudy,145
ginger ale,146
monitor,147
cream mushroom soup,148
window,149
cigarettes,150
tv remote,151
spinach,152
ketchup,153
black beans,154
4,155
potatoes,156
cd,157
conditioner,158
dont know,159
cottage pie,160
chicken noodle,161
speaker,162
on,163
sky,164
cellphone,165
vitamins,166
ipad,167
flower,168
windows,169
body wash,170
kitchen,171
dark,172
rug,173
cleaner,174
khaki,175
body lotion,176
peach,177
salt,178
startup repair,179
glass,180
computer keyboard,181
clock,182
lemon,183
meatloaf,184
chicken noodle soup,185
toy,186
carpet,187
perfume,188
purse,189
mixed vegetables,190
tuna,191
radio,192
peaches,193
pinto beans,194
ceiling fan,195
ibuprofen,196
8,197
pillow,198
campbells,199
laptop computer,200
chili,201
pizza,202
broccoli,203
popcorn,204
meat,205
couch,206
peas,207
ground beef,208
pills,209
bag,210
frozen dinner,211
unsure,212
cheese,213
card,214
rice,215
not sure,216
coffee mug,217
calculator,218
bedroom,219
cake,220
dvd,221
hat,222
diced tomatoes,223
tomato,224
maroon,225
blueberry,226
light grey,227
original,228
mustard,229
room,230
words,231
cake mix,232
spaghetti meatballs,233
72,234
glasses,235
gum,236
christmas tree,237
tylenol,238
microwave,239
wallet,240
toothpaste,241
coke 0,242
spaghetti,243
windex,244
not clear,245
dollar bill,246
wood,247
green white,248
ravioli,249
fruit,250
drink,251
100,252
butter,253
tree,254
low,255
pudding,256
cinnamon,257
dell,258
cheerios,259
cranberry sauce,260
keys,261
screen,262
negative,263
potato chips,264
grass,265
sugar,266
picture,267
stapler,268
chicken broth,269
hazelnut,270
computer monitor,271
corned beef,272
grey white,273
chicken pot pie,274
vegetable,275
350,276
tomato soup,277
yes white,278
salad dressing,279
hamburger helper,280
root beer,281
up,282
bud light,283
75,284
diet pepsi,285
chicken breast,286
camera,287
1 dollar bill,288
$1,289
red white,290
tissues,291
menu,292
plaid,293
kleenex,294
insufficient image quality,295
white black,296
no idea,297
pepper,298
off white,299
sausage,300
nestea,301
can soup,302
microsoft corporation,303
honey nut cheerios,304
scissors,305
person,306
french roast,307
cloth,308
toilet paper,309
house,310
ok,311
tropical punch,312
porcupines in tomato sauce,313
brown white,314
garlic powder,315
cola,316
kidney beans,317
sunglasses,318
pasta sauce,319
teal,320
error message,321
mashed potatoes,322
pepperoni,323
gift card,324
tissue,325
spaghetti sauce,326
office,327
guitar,328
brownie mix,329
beef broth,330
79,331
blue grey,332
lime,333
apple juice,334
shower gel,335
teddy bear,336
pumpkin,337
74,338
melatonin,339
printer,340
chicken dijon,341
legs,342
woman,343
plain,344
1 line,345
high,346
dark grey,347
grape,348
alarm clock,349
cabinet,350
lemon juice,351
cream chicken,352
seasoning,353
neither,354
78,355
pineapple,356
harry potter,357
answerable,358
trash can,359
unclear,360
fabric,361
noodles,362
watermelon,363
alcohol,364
pear,365
charger,366
towel,367
olives,368
lighter,369
mrs dash,370
5 minutes,371
gevalia,372
granola bars,373
fish,374
canned food,375
instructions,376
coca cola 0,377
5 dollars,378
pickles,379
fireplace,380
73,381
white blue,382
label,383
ipod,384
laundry detergent,385
basil,386
tv dinner,387
advil,388
ring,389
steak,390
dollar,391
macaroni,392
cant see,393
sink,394
t shirt,395
decaf,396
unreadable,397
sea salt,398
big print address book,399
house blend,400
salmon,401
